Lemma	Part_of_Speech	Gender	Singular and Plural	Source	Lemma (Dalgado)	Definition
cartucho	noun	masculine	cartucho, cartuchos	http://kaiko.getalp.org/dbnary/por/cartucho__Substantivo__1	Cartucho	a cartridge
casa	noun	feminine	casa, casas	http://kaiko.getalp.org/dbnary/por/casa__Substantivo__1	Casa	slit to receive fastening; a button-hole
católico	adjective		católico, católicos	http://kaiko.getalp.org/dbnary/por/católico__Adjetivo__1	Católico	a Catholic
católico	noun	masculine	católico, católicos	http://kaiko.getalp.org/dbnary/por/católico__Substantivo__1	Católico	a Catholic
chá	noun	masculine	chá, chás	http://kaiko.getalp.org/dbnary/por/chá__Substantivo__1	Chá	tea
chá	noun	masculine	chá, chás	http://kaiko.getalp.org/dbnary/por/chá__Substantivo__1	Chá	tea
chá	noun	masculine	chá, chás	http://kaiko.getalp.org/dbnary/por/chá__Substantivo__1	Chá	tea
chá	noun	masculine	chá, chás	http://kaiko.getalp.org/dbnary/por/chá__Substantivo__1	Chá	tea
chapa	noun	masculine	chapa, chapas	https://en.wiktionary.org/wiki/chapa#Portuguese		a seal, impression, stamp, or brand
chave	noun	masculine	chave, chaves	http://kaiko.getalp.org/dbnary/por/chave__Substantivo__1	Chave	a key
cifra	noun	feminine	cifra, cifras	http://kaiko.getalp.org/dbnary/por/cifra__Substantivo__1	Cifra	a cipher
cifra	noun	Feminine	cifra, cifras	http://kaiko.getalp.org/dbnary/por/cifra__Substantivo__1	Cifra	a cipher
cifra	noun	Feminine	cifra, cifras	http://kaiko.getalp.org/dbnary/por/cifra__Substantivo__1	Cifra	a cipher
cifra	noun	feminine	cifra, cifras	http://kaiko.getalp.org/dbnary/por/cifra__Substantivo__1	Cifra	a cipher
cifra	noun	feminine	cifra, cifras	http://kaiko.getalp.org/dbnary/por/cifra__Substantivo__1	Cifra	a cipher
cifra	noun	feminine	cifra, cifras	http://kaiko.getalp.org/dbnary/por/cifra__Substantivo__1	Cifra	a cipher
cocheiro	noun	masculine	cocheiro, cocheiros	http://kaiko.getalp.org/dbnary/por/cocheiro__Substantivo__1	Cocheiro	coachman
compasso	noun	masculine	compasso, compassos	https://en.wiktionary.org/wiki/compasso#Portuguese	Compasso	a compass; also measure, time
