Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Example	Source	Wiktionary (Hindi)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
janela		जंगला	jaṅglā	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.				https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%9C%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%9C%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE#Hindi				masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
leilão	leilão: ← A. (al) a'lām	नीलाम	nīlāma	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m. & adv.	auction (a public event where goods are sold through bidding)	1. m. an auction. 2. adv. by auction; at auction. — ~ करना, or कराना, to sell by auction. ~ ख़रीदना, to buy at auction. ~ पर चढ़ना		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE%E0%A4%AE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE%E0%A4%AE				masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
martelo		मारतौल	mārataula	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]	m.	a heavy hammer, hammer 	obs. a heavy hammer.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%8C%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%8C%E0%A4%B2	alternative मार्तोल (mārtol), मारतोल (mārtol)			masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
martelo		मार्तोल	mārtol	noun																	
masto		मस्तूल	mastūla	noun		m.		mast		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%B2&searchhws=yes&matchtype=exact											
mestre		मिस्तरी	mistarī	noun		m.		a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact											
outubro	October	अक्तूबर	aktūbara	noun		m.		October		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%AC%E0%A4%B0&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%AC%E0%A4%B0	English?		month							
padre		पादरी	pādarī	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.		1. Christian priest or minister; chaplain. 2. missionary.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AA%E0%A4%BE%E0%A4%A6%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%BE%E0%A4%A6%E0%A4%B0%E0%A5%80		religion		masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
pipa		पीपा	pīpā	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask	1. a cask, barrel. 2. cylinder (of gas). 3. engin. a pontoon.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AA%E0%A5%80%E0%A4%AA%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A5%80%E0%A4%AA%E0%A4%BE			object	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
pistola		पिस्तौल	pistaula	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	a pistol; revolver.	पिस्तौल चलाना ― pistaul calānā ― to fire a pistol	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AA%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8C%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8C%E0%A4%B2			object	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
pompa		बंबा	bambā	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump	1. a pump. 2. reg. (W.). a water-channel.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A4%82%E0%A4%AC%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%AC%E0%A4%BE				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
pompa		बंबा	bambā	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	channel, narrow river, creek	1. a pump. 2. reg. (W.). a water-channel.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A4%82%E0%A4%AC%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%AC%E0%A4%BE				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
saia		साया	sāyā	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	petticoat, undershirt.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%B8%E0%A4%BE%E0%A4%AF%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%AF%E0%A4%BE			clothing	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
salsaparrilha		सालसा	sālasā	noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	Indian sarsparilla, Hemidesmus indicus (= अनंत-मूल).		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%B8%E0%A4%BE%E0%A4%B2%E0%A4%B8%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%B2%E0%A4%B8%E0%A4%BE		botany								
setembro	September	सितंबर	sitambara			m.		September		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%B8%E0%A4%BF%E0%A4%A4%E0%A4%82%E0%A4%AC%E0%A4%B0&searchhws=yes&matchtype=exact				month							
toalha	Towel	तौलिया	tauliyā	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel				https://en.wiktionary.org/wiki/%E0%A4%A4%E0%A5%8C%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE#Hindi				masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो
varanda	varanda; w. P. bar āmada 'come forth'	बरामदा	barāmadā	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	verandah; balcony.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%A6%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%A6%E0%A4%BE				masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो
