Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Example	Source	Wiktionary (Hindi)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
câmara		कमरा	kamarā	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	1. a room. 2. hall, chamber (of a public building). 3. compartment. — बंद कमरे में, adv. Law. in camera.	तेरा सामान मेरे कमरे में है। terā sāmān mere kamre mẽ hai. Your things are in my room.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%AE%E0%A4%B0%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%AE%E0%A4%B0%E0%A4%BE				masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो
carraguem		किराँची	kirām̐cī	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train	reg. (W.). a two-wheeled covered cart.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
carraguem		किराँची	kirām̐cī	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train	reg. (W.). a two-wheeled covered cart.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
carraguem		किराँची	kirām̐cī	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	bullock cart	reg. (W.). a two-wheeled covered cart.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80	potentially from English caroche 			fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
chave		चाबी	cābī	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	1. a key. 2. a wedge. — ~ देना, or भरना, or लगाना (में), to wind up (as a clock); to lock.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%9A%E0%A4%BE%E0%A4%AC%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%9A%E0%A4%BE%E0%A4%AC%E0%A5%80	alternative form चाभी (cābhī)		object	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
couve		गोभी	gobhī	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cabbage 		सब्ज़ी मंडी से बंद गोभी ज़रूर ख़रीदना। sabzī maṇḍī se band gobhī zarūr xarīdnā. Be sure to buy some cabbage from the vegetable market.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80#Hindi	Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
couve		गोभी	gobhī	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cauliflower 			https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80#Hindi	Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
cristão	cristão; × H. musalmān, P. naṣrān	क्रिस्तान	kristāna	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m., f.	christian	a Christian. — ~ हो जाना, to become a Christian.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8		religion								
cruz		क्रूस	krūsa	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified	a cross		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8#Hindi		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
cruz		क्रूस	krūsa	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	crucifix, cross	a cross		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8#Hindi		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
da Silva		डीसिल्वा	ḍīsilvā	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]	 m or f by sense	a surname from Portuguese, equivalent to English D'Silva or Desilva				https://en.wiktionary.org/wiki/%E0%A4%A1%E0%A5%80%E0%A4%B8%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%B5%E0%A4%BE#Hindi										
dezembro	December	दिसंबर	disambara	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	December		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%A6%E0%A4%BF%E0%A4%B8%E0%A4%82%E0%A4%AC%E0%A4%B0&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A4%BF%E0%A4%B8%E0%A4%82%E0%A4%AC%E0%A4%B0	English?		month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
espada	steel	इस्पात	ispāta	noun		m.		steel		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4			object							
estábulo	estábulo; A. ist̤abal: ← L., Gk	अस्तबल	astabala	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	1. stable. 2. lumber-room, junk-room.	घोड़े को अस्तबल में लेकर खाना दो। ghoṛe ko astabal mẽ lekar khānā do. Take the horse to the stable and give it some food.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%AC%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%AC%E0%A4%B2	Persian?			masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar		इस्तरी	istarī	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press	1. an iron. 2. ironing. — ~ करना, to iron.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
