hiTenTen21 Relative (1)	Variant	Headword	Transliteration	Etymon pt-PT	Etymology Full (Work here)	Urdu 	Part of Speech	Pronunciation	Gender	Definition	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1		Etymology Old
0.06		क्रिस्तान	kristāna	cristão	pt cristão (Source: McGregor) | en Christian (Source: Dasa, Platts)  .	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	54	क्रिस्तान		NA	NA (Source: Dalgado); 			religion	religion	practices, beliefs and rituals								coronel		pt (Source: Dalgado, McGregor) | en (Source: Dasa)  .
0.82		क्रूस	krūsa	cruz	pt cruz (Source: Dalgado, McGregor) | en cross (Source: Dasa) .	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	735	क्रूस		cruz	cruz (Source: Dalgado)	cruz (Source: Dalgado)		religion	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो	couve		itc-pro *kruk(-i)-? (Source: de Vaan) > la crux 'wooden frame, cross' (Source: de Vaan) > pt cruz (Source: Dalgado, McGregor) | en cross (Source: Dasa) .
		कुनिया		cunha	pt cunha (Source: Dalgado) | sa काण (Source: Dasa) .		noun			wedge	24	कुनिया		cunha	cunha (Source: Dalgado)	cunha (Source: Dalgado)												cristão		pt cunha (Source: Dalgado) .
0.06		डीसिल्वा	ḍīsilvā	da Silva	pt da Silva (Source: Wiktionary) > kok द सिल्वा (Source: Wiktionary) > en D'Silva, Desilva (Source: Wiktionary) .	⁧ڈی سلوا⁩	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]		a surname from Portuguese, equivalent to English D'Silva or Desilva	54	डीसिल्वा		NA	NA (Source: Dalgado); 													cruz		pt  da Silva (Source: Dalgado)  .
172.66		दिसंबर	disambara	dezembro	pt dezembro (Source: McGregor) | en December (Source: Dasa, McGregor) .	دسمبر⁩ 	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	155,631	दिसंबर		NA	English December (Source: McGregor)	English December (Source: McGregor)	English December (Source: McGregor)	calendar	calendar	month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो	cunha		pt dezembro (Source: McGregor) | ine-pro *deḱm ‘ten’, *deḱm-to- ‘tenth’ (Source: de Vaan) > itc-pro *dekm ‘ten’, *dekamo- ‘tenth’ > la decem + -ber 'pertaining to the tenth (month)' (Source: Ernout-Meillet) > en December (Source: Dasa, McGregor) .
12.07		इस्पात	ispāta	espada	pt espada (Source: Dalgado, Dasa, McGregor) .	اسپات	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel	10,882	इस्पात		espada	espada (Source: Dalgado)	espada (Source: Dalgado)				weapons, explosives, devices								da Silva		pt espada (Source: Dalgado, Dasa, McGregor) .
279.86		अस्पताल	aspatāla	espital	pt espital (Source: McGregor) | en hospital (Source: Dasa, McGregor) .	اَسْپَتال⁩	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	252,251	अस्पताल		NA	espital (Source: Wiktionary); English hospital (Source: McGregor)	espital (Source: Wiktionary); English hospital (Source: McGregor)	English hospital (Source: McGregor)	healthcare	healthcare	medical institutions	masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो	gudão		pt espital (Source: McGregor) | en hospital (Source: Dasa, McGregor) .
0.62		अस्तबल	astabala	estábulo	pt estábulo (Source: McGregor) |  grc > la > ar ist̤abal (Source: McGregor) | ar (Source: Dasa) .	اَصْطَبَل	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	556	अस्तबल		NA	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	Arabic ist̤abal (Source: McGregor)	animalHusbandry	animalHusbandry	animal housing	masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो	dezembro		pt estábulo (Source: McGregor) |  grc > la > ar ist̤abal (Source: McGregor) | ar (Source: Dasa)
0.17		इस्तरी	istarī	estirar	pt estirar (Source: Dalgado, McGregor) .	استری	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press	155	इस्तरी		estirar	estirar (Source: Dalgado)	estirar (Source: Dalgado)					fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो	espada		pt estirar (Source: Dalgado, McGregor) .
		फ़ालतू	fāltū	falto	pt falto (Source: Dalgado) .	فالتو	adj.	(Delhi) IPA(key): /fɑːl.t̪uː/, [fäːl.t̪uː], /pʰɑːl.t̪uː/, [pʰäːl.t̪uː]		unnecessary, pointless & bad; not nice; of poor quality & useless, irrelevant, good-for-nothing (used for someone)		फ़ालतू		falto	falto (Source: Dalgado)	falto (Source: Dalgado)												estábulo		pt falto (Source: Dalgado) .
	फीता	फ़ीता	fītā	fita	pt fita (Source: Dalgado, Dasa) .	 ⁧فیتہ⁩	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace & tape; tape measure & ribbon	0	फ़ीता		fita	fita (Source: Dalgado)	fita (Source: Dalgado)					masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो	estirar		pt fita (Source: Dalgado, Dasa) .
		फ़रमा	faramā	forma	en form (Source: McGregor) .		noun			in the sense of ‘mould, appearance’		फ़रमा		forma	forma (Source: Dalgado)	forma (Source: Dalgado)												falto		pt forma (Source: Dalgado) .
<0.01		जेंटू	jẽṭū	gentio		⁧جینٹو⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo	2	जेंटू		NA				religion	religion	practices, beliefs and rituals	masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ	fita		pt 
		गोदाम	godām	gudão	pt gudão (Source: Dalgado) | bn গুদাম ‘godown, warehouse' (Source McGregor) | en godown (Source: Dasa) .	گودام	noun		m.	storage, godown	11830	गोदाम		gudão	gudão (Source: Dalgado); Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)											forma		pt gudão (Source: Dalgado) | pt gudão ‘godown' (Source: Wiktionary) >  bn গুদাম ‘godown, warehouse' (Source McGregor) | en godown (Source: Dasa).
<0.01	ओलंदेज	ओलंदेज़	olandez	holandês	pt holandês (Source: Wiktionary) | fr hollandais (Dasa) .	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m. or f.	(dated) Dutchman; citizen of Holland 	1	ओलंदेज़		NA				geography	geography	nationalities and ethnic groups								gentio		pt holandês (Source: Wiktionary) .
0.68		गिरजा	girajā	igreja	pt igreja (Source: Dalgado, Dasa) .	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	609	गिरजा		igreja	igreja (Source: Dalgado)	igreja (Source: Dalgado)		religion	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो	holandês		pt igreja (Source: Dalgado, Dasa) .
2.58	अँगरेज	अँग्रेज़	am̐grēz	inglês	pt inglês (Source: Dalgado, Dasa, McGregor, Platts) .	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	2,327	अँग्रेज़		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		geography	geography	nationalities and ethnic groups								hospital		pt inglês (Source: Dalgado, Dasa, McGregor) .
		अंग्रेज़	aṅgrez	inglês	pt inglês (Source: Dalgado, McGregor) .	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	7315	अंग्रेज़		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		geography	geography	nationalities and ethnic groups								igreja		pt inglês (Source: Dalgado, McGregor) .
		जंगला	jaṅglā	janela	pt janela (Source: Dasa) | जाङ्गल+कः (Source: Platts) .	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window	N	जंगला		janela	janela (Source: Dalgado)	janela (Source: Dalgado)		architecture	architecture	medical institutions	masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो	inglês		pt janela (Source: Dalgado, Dasa) .
		जुआ	juā	jogar	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) |  sa द्यूत+कः (Source: Platts) .	جوا	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː/, [d͡ʒʊ.äː]	m.	gambling		जुआ		jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	architecture	architecture	building components								jalapa		pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) .
		जुआरी	juārī	jogar	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) | sa द्यूत+कारी(इन्)+कः (Source: Platts) .	جواری	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː.ɾiː/, [d͡ʒʊ.äː.ɾiː]	m.	gambler		जुआरी		jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	architecture	architecture	building components								janela		pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) .
		लैंप	laimp	lampada	pt lampada (Source: Dalgado) | en lamp (Source: Dalgado, Dasa) .	لیمپ	noun		m.	lamp	3339	लैंप		lampada	lampada (Source: Dalgado); English lamp (Source: Dalgado)	lampada (Source: Dalgado); English lamp (Source: Dalgado)	English lamp (Source: Dalgado)											jogar		pt lampada (Source: Dalgado) | en lamp (Source: Dalgado, Dasa) .
3.34		नीलाम	nīlām	leilão	pt leilão (Source: Dalgado, Dasa) .	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m 	auction (a public event where goods are sold through bidding)	3,011	नीलाम		leilão	leilão (Source: Dalgado)	leilão (Source: Dalgado)		commerce_and_business	commerce_and_business	financial transactions	masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो	jogar		pt leilão (Source: Dalgado, Dasa) .
		लंगूचा	languchā	linguiça	sa लिङ्ग+उच्चयः (Source: Platts) .		noun		m.	a sausage	2	लंगूचा		linguiça	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	Sanskrit लिङ्ग+उच्चयः (Source: Platts)											lampada		pt linguiça (Source: Dalgado) | sa लिङ्ग+उच्चयः (Source: Platts) .
		मरमर	marmar	mármore	pt mármore (Source: Dalgado) | grc > fa مرمر (Source: McGregor) | ur (Source: Dasa).	مرمر	noun	(Delhi) IPA(key): /məɾ.məɾ/, [mɐɾ.mɐɾ]	m.	marble	53	मरमर		mármore	mármore (Source: Dalgado); Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	mármore (Source: Dalgado); Persian مرمر  (Source: Wiktionary, McGregor)	Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	materials	materials	stone types								leilão		pt mármore (Source: Dalgado) | grc > fa مرمر (Source: McGregor) | ur (Source: Dasa).
<0.01		मारतौल	mārataula	martelo	pt martelo (Source: Dalgado, Dasa, McGregor, Platts) .	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]		a heavy hammer, hammer 	2	मारतौल		martelo	martelo (Source: Dalgado)	martelo (Source: Dalgado)		objects	objects	tools	masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो	linguiça		pt martelo (Source: Dalgado, Dasa, McGregor) .
0.24		मस्तूल	mastūla	mastro	pt mastro (Source: Dasa) .	مستول	noun	(Delhi) IPA(key): /məs.t̪uːl/, [mɐs.t̪uːl]	m.	mast	219	मस्तूल		mastro	mastro (Source: Dalgado)	mastro (Source: Dalgado)		nautics	nautics	nautical tools, components and materials								mármore		pt mastro (Source: Dalgado, Dasa) .
		मास-कबार	mās-kabār	mês	pt mês (Source: Dalgado) .	ماس کَبار	noun		m.	last day of a month, monthly statement	0	मार्तोल		mês	mês (Source: Dalgado)	mês (Source: Dalgado)												martelo		pt mês (Source: Dalgado) .
		मेज़	mez	mesa	pt mesa (Source: Dalgado, Dasa) | fa میز (Source: Dasa, McGregor) .	میز	noun	(Delhi) IPA(key): /meːz/, /meːd͡ʒ/	f.	table	2319	मेज़		mesa	mesa (Source: Dalgado); Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	mesa (Source: Dalgado); Persian میز  (Source: Wiktionary, McGregor)	Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	furniture	furniture	pieces of furniture								mastro		pt mesa (Source: Dalgado, Dasa) | fa میز (Source: Dasa, McGregor) .
		मस्तीसा	mastīsā	mestiço	pt mestiço (Source: Dalgado) .	مَستِیسا	noun		m. or f.	half-caste	0	मस्तीसा		mestiço	mestiço (Source: Dalgado)	mestiço (Source: Dalgado)												mês		pt mestiço (Source: Dalgado) .
		मिस्तरी	mistarī	mestre	pt mestre (Source: McGregor) .	مستری	noun			skilled tradesman	0	मास-कबार		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		education	education	leadership and authority								mesa		pt mestre (Source: Dalgado, McGregor) .
		मिस्त्री	mistrī	mestre	pt mestre (Source: McGregor) .	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	N	मिस्त्री		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		education	education	leadership and authority	masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो	mestre		pt mestre (Source: Dalgado, McGregor) .
		मिस्त्री	mistarī	mestre	pt mestre (Source: McGregor) .	مستری	noun	(Delhi) IPA(key): /mɪs.t̪ɾiː/	m.	skilled tradesman	54	मिस्तरी		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		education	education	leadership and authority								mestiço		pt mestre (Source: Dalgado, McGregor) .
		मुसंबी	musambī	Moçambique	pt Moçambique (Source: Dasa)	 	noun		f.	mousambi				NA																pt Moçambique (Source: Dasa)
20.58		अक्तूबर	aktūbara	outubro	pt outubro (Source: Wiktionary) | en October (Source: McGregor) .	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	18,552	अक्तूबर		NA	outubro (Source: Wiktionary);  English October (Source: McGregor)	outubro (Source: Wiktionary);  English October (Source: McGregor)	 English October (Source: McGregor)	calendar	calendar	month								mestre		ine-pro *h₃(e)ḱtéh₃ ‘eight’, *h₃ḱt(e)h₃-uó- ‘eighth’ > itc-pro *oktō ‘eight’, *oktāwo- ‘eighth’ (Source: de Vaan) > la octō + -ber ‘pertaining the eigth (month)’ [analogy with la september ‘september’] (Source: Ernout-Meillet) > pt outubro (Source: Wiktionary) | en October (Source: McGregor) .
5.53		पादरी	pādarī	padre	pt padre (Source: Dalgado, Dasa) .	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	4980	पादरी		padre	padre (Source: Dalgado)	padre (Source: Dalgado)		religion	religion	practices, beliefs and rituals	masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो	mestre		pt padre (Source: Dalgado, Dasa) .
		पाव-रोटी	pāv-rotī	pão	pt pão + hi रोटी  (Source: Dalgado, Dasa) | sa पद् (Source: McGregor, Platts) .		noun		f.	loaf of bread	94	पाव-रोटी		pão	pão (Source: Dalgado); Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	pão (Source: Dalgado); Sanskrit पद्  (Source:McGregor)	Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	culinary	culinary	food / baked goods								outubro		pt pão + hi रोटी  (Source: Dalgado, Dasa) | sa पद् (Source:McGregor) .
		पपीता	papītā	papaia	pt papaia (Source: Dalgado)  .	پپیتا	noun		m.	papaya	8222	पपीता		papaia	papaia (Source: Dalgado); 	papaia (Source: Dalgado); 		botany	botany	fruits								padre		pt papaia (Source: Dalgado)  .
		पीरू	pīrū	peru	fa پِیل مُرْغ (Source: Dasa) .	پیرو	noun	(Delhi) IPA(key): /piː.ɾuː/	m.	turkey	N	पीरू		peru	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	Persian  پِیل مُرْغ (Source:Dasa)											pão		pt peru (Source: Dalgado) | fa  پِیل مُرْغ (Source:Dasa) .
?0.93		पीपा	pīpā	pipa	pt pipa (Source: Dalgado, McGregor) | ? (Source: Dasa) .	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask	?834	पीपा		pipa	pipa (Source: Dalgado)	pipa (Source: Dalgado)				containers	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो	papaia		pt pipa (Source: Dalgado, McGregor) | ? (Source: Dasa) .
		पिरिच	piric	pires	pt pires (Source: Dalgado) | en press (Source: McGregor) .	پرچ	noun	(Delhi) IPA(key): /pɪ.ɾɪt͡ʃ/	m.	saucer  & a flat surface (as used in pressing out indigo)	0	पिरिच		pires	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	English press (Source: Wiktionary, McGregor)	household	household	tableware								peru		pt pires (Source: Dalgado) | en press (Source: McGregor) .
6.07		पिस्तौल	pistaula	pistola	pt pistola (Source: Dalgado, McGregor) | en pistol (Source: Dalgado, Dasa) .	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	5,470	पिस्तौल		pistola	pistola (Source: Dalgado); English pistol (Source: Dalgado)	pistola (Source: Dalgado); English pistol (Source: Dalgado)	English pistol (Source: Dalgado)	military	military	weapons, explosives, devices	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो	pipa		pt pistola (Source: Dalgado, McGregor) | en pistol (Source: Dalgado, Dasa) .
		पुलिस	pulis	polícia	en police (Source: Dasa, McGregor) .	پولس	noun	(Delhi) IPA(key): /pʊ.lɪs/	f.	the police		पुलिस		? polícia	? polícia (Source: Dalgado); English police (Source: D, McGregor)	? polícia (Source: Dalgado); English police (Source: D, McGregor)	English police (Source: D, McGregor)											pires		pt ? polícia (Source: Dalgado) | en police (Source: Dalgado, Dasa, McGregor) .
0.34		बंबा	bambā	pompa	pt pompa (Source: McGregor) | ar (Source: Dasa) | fa (Source: Dasa) .	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	304	बंबा		NA							masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो	pistola		pt pompa .
		परात	parāt	prato	pt prato (Source: Dalgado) | sa पात्र (Source: Dasa) .	پرات	noun	(Delhi) IPA(key): /pə.ɾɑːt̪/, [pɐ.ɾäːt̪]	f.	receipt	400	परात		prato	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) 	Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)		tableware									polícia		pt prato (Source: Dalgado) | sa पात्र (Source: Dasa) .
		करूबीम		querubim	pt querubim (Source: Dalgado) .	کَرُوبِیم	noun			cherubim	0	करूबीम		querubim	querubim (Source: Dalgado)	querubim (Source: Dalgado)												prato		pt querubim (Source: Dalgado) .
		रसीद	rasīd	recibo	pt recibo (Source: Dalgado) | fa رسید (Source: Dasa, McGregor) | en receipt (Dasa) .	رسید	noun	(Delhi) IPA(key): /ɾə.siːd̪/, [ɾɐ.siːd̪]	f.	receipt	5471	रसीद		recibo	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	Persian رسید (Source: McGregor)		commerce_and_business	financial transactions								prego		pt recibo (Source: Dalgado) | fa رسید (Source: Dasa, McGregor) | en receipt (Dasa) .
		साबुन	sābun	sabão	pt sabão (Source: Dalgado) | ar صَابُون (Source: Dasa, McGregor) |  ar صَابُون > fa صابون (Source: Wiktionary) .	صابن	noun	(Delhi) IPA(key): /sɑː.bʊn/, [säː.bʊ̃n]	m.	soap	11540	साबुन		sabão	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	cleaningAndHygiene	cleaning and hygiene									querubim		pt sabão (Source: Dalgado) | ine-pro *seyb- > gem-pro *saipǭ [borrowing] > la sāpō [borrowing] > grc σάπων [borrowing] > syc ܨܲܦ݁ܘܿܢܵܐ (Source:Wiktionary)  [borrowing] > ar صَابُون (Source: Dasa, McGregor) |  ar صَابُون > fa صابون (Source: Wiktionary) .
		सागू	sāgū	sagu	pt ? sagu (Source: Dalgado) | id sagu (Source: McGregor) | en sago (Source: Dasa) .	ساگو	noun	(Delhi) IPA(key): /sɑː.ɡuː/, [säː.ɡuː]	m.	sago	32	सागू		? sagu	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	Indonesian sagu (Source: McGregor)											recibo		pt ? sagu (Source: Dalgado) | id sagu (Source: McGregor) | en sago (Source: Dasa) .
		साया	sāyā	saia	pt saia (Source: Dalgado, McGregor) | en chemise (Source: Dasa) .	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	9045	साया		saia	saia (Source: Dalgado)	saia (Source: Dalgado)		clothing	clothing	clothing items	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो	sabão		pt saia (Source: Dalgado, McGregor) | en chemise (Source: Dasa) .
		सलाद	salād	salada	fr salade (Source: McGregor) | ar > en salad (Source: Dasa) .		noun		m.	salad	9076	सलाद		salada	salada (Source: Dalgado); French salade (Source: McGregor)	salada (Source: Dalgado); French salade (Source: McGregor)	French salade (Source: McGregor)											sagu		pt salada (Source: Dalgado) | fr salade (Source: McGregor) | ar > en salad (Source: Dasa) .
?0.33		सालसा	sālasā	salsaparrilha	pt salsaparrilha (Source: McGregor) | en (Source: Dasa)		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	 ?297	सालसा		NA				botany	botany	plants								saia		pt salsaparrilha (Source: McGregor) | en (Source: Dasa)
		चपात	chapat	sapato	pt sapato (Source: Platts) .	چپات	noun		f.	 A shoe of the European fashion (having a heel-piece, in contradistinction to the Persian shoe).																				pt sapato (Source: Platts) .
142.28		सितंबर	sitambara	setembro	pt setembro (Source: McGregor) | en September (Source: Dasa, McGregor) .	ستمبر	noun		m.	September	128,243	सितंबर		NA	setembro (Source: Wiktionary); English September (Source: McGregor)	setembro (Source: Wiktionary); English September (Source: McGregor)	English September (Source: McGregor)	calendar	calendar	month								salada		pt setembro (Source: McGregor) | en September (Source: Dasa, McGregor) .
		शर्ती	śart	sorte	ar شَرْط (Source: Dasa) .	شرط	noun	(Delhi) IPA(key): /ʃəɾt̪/, [ʃɐɾt̪]	f.	condition, requirement & wager, bet 	11	शर्ती		sorte	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	Arabic شَرْط (Source: Wiktionary)											salsaparrilha		pt sorte (Source: Dalgado) | ar شَرْط (Source: Dasa) .
		तंबाकू	tambākū	tabaco	pt tabaco (Source: Dalgado) | fa تنباکو (Source: McGregor) | en tobacco (Source: Dasa) .	تنباکو 	noun	(Delhi) IPA(key): /t̪əm.bɑː.kuː/, [t̪ɐ̃m.bäː.kuː]	m.	tobacco	12641	तंबाकू		tabaco	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	Persian تنباکو (Source: Wiktionary)											setembro		pt tabaco (Source: Dalgado) | pt tabaco (Source:Wiktionary) > fa تنباکو (Source: McGregor) | en tobacco (Source: Dasa) .
