Etymon pt-PT	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Headword	Transliteration	Urdu	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
igreja		igreja	गिरजा	girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	1. church 2. chapel	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
inglês		inglês	अँग्रेज़	am̐grēz	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	geography	nationalities and ethnic groups							
inglês		inglês	अंग्रेज़	aṅgrez	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	geography	nationalities and ethnic groups							
jalapa		jalapa	जुल्लाब			noun												
janela		janela	जंगला	jaṅglā	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	1. fencing, railing 2. grille-fitted window	architecture and building	medical institutions	masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
jogar		jogar	जुआ	juā	جوا	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː/, [d͡ʒʊ.äː]	m.	gambling	architecture	building components							
jogar		jogar	जुआरी	juārī	جواری	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː.ɾiː/, [d͡ʒʊ.äː.ɾiː]	m.	gambler	architecture	building components							
lampada		lampada	लैंप	laimp	لیمپ	noun		m.	lamp									
leilão		leilão	नीलाम	nīlām	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m 	auction (a public event where goods are sold through bidding)	commerce and business	financial transactions	masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
linguiça		linguiça	लंगूचा	languchā		noun		m.	a sausage									
mármore		mármore	मरमर	marmar	مرمر	noun	(Delhi) IPA(key): /məɾ.məɾ/, [mɐɾ.mɐɾ]	m.	marble	materials	stone types							
martelo		martelo	मारतौल	mārataula	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]		a heavy hammer, hammer 	objects	tools	masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
mastro		mastro	मस्तूल	mastūla	مستول	noun	(Delhi) IPA(key): /məs.t̪uːl/, [mɐs.t̪uːl]	m.	mast	nautics	nautical tools, components and materials							
mês		mês	मास-कबार	mās-kabār	ماس کَبار	noun		m.	last day of a month, monthly statement									
mesa		mesa	मेज़	mez	میز	noun	(Delhi) IPA(key): /meːz/, /meːd͡ʒ/	f.	table	furniture	pieces of furniture							
mestiço		mestiço	मस्तीसा	mastīsā	مَستِیسا	noun		m. or f.	half-caste									
mestre		mestre	मिस्त्री	mistarī	مستری	noun	(Delhi) IPA(key): /mɪs.t̪ɾiː/	m.	skilled tradesman	education	leadership and authority							
mestre		mestre	मिस्तरी	mistarī	مستری	noun			skilled tradesman	education	leadership and authority							
mestre		mestre	मिस्त्री	mistrī	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	1. mechanic 2. artisan, craftsman	education	leadership and authority	masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो
outubro		NA	अक्तूबर	aktūbara	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	calendar	month							
padre		padre	पादरी	pādarī	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	religion	practices, beliefs and rituals	masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
pão		pão	पाव-रोटी	pāv-rotī		noun		f.	loaf of bread	culinary	food / baked goods							
papaia		papaia	पपीता	papītā	پپیتا	noun		m.	papaya	botany	fruits							
peru		peru	पीरू	pīrū	پیرو	noun	(Delhi) IPA(key): /piː.ɾuː/	m.	turkey									
pipa		pipa	पीपा	pīpā	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask		containers	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
pires		pires	पिरिच	piric	پرچ	noun	(Delhi) IPA(key): /pɪ.ɾɪt͡ʃ/	m.	1. saucer  2. a flat surface (as used in pressing out indigo)	household	tableware							
pistola		pistola	पिस्तौल	pistaula	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	military	weapons, explosives, devices	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
polícia		? polícia	पुलिस	pulis	پولس	noun	(Delhi) IPA(key): /pʊ.lɪs/	f.	the police									
pompa			बंबा	bambā	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	1. pump; water pump 2. channel, narrow river, creek			masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
prato		prato	परात	parāt	پرات	noun	(Delhi) IPA(key): /pə.ɾɑːt̪/, [pɐ.ɾäːt̪]	f.	receipt	tableware								
prego		prego				noun												
querubim		querubim	करूबीम		کَرُوبِیم	noun												
recibo		recibo	रसीद	rasīd	رسید	noun	(Delhi) IPA(key): /ɾə.siːd̪/, [ɾɐ.siːd̪]	f.	receipt	commerce and business	financial transactions							
sabão		sabão	साबुन	sābun	صابن	noun	(Delhi) IPA(key): /sɑː.bʊn/, [säː.bʊ̃n]	m.	soap	cleaning and hygiene								
sagu		? sagu	सागू	sāgū	ساگو	noun	(Delhi) IPA(key): /sɑː.ɡuː/, [säː.ɡuː]	m.	sago									
saia		saia	साया	sāyā	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	clothing	clothing items	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
salada		salada	सलाद	salād		noun		m.	salad									
salsaparrilha		NA	सालसा	sālasā		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	botany	plants							
setembro		NA	सितंबर	sitambara	ستمبر	noun		m.	September	calendar	month							
sorte		sorte	शर्ती	śart	شرط	noun	(Delhi) IPA(key): /ʃəɾt̪/, [ʃɐɾt̪]	f.	1. condition, requirement 2. wager, bet 									
tabaco		tabaco	तंबाकू	tambākū	تنباکو 	noun	(Delhi) IPA(key): /t̪əm.bɑː.kuː/, [t̪ɐ̃m.bäː.kuː]	m.	tobacco									
tambor		tambor	तंबूरा	tānpūrā	تنپورا	noun	(Delhi) IPA(key): /t̪ɑːn.puː.ɾɑː/, [t̪ä̃ːn.puː.ɾäː]	m.	tanpura									
toalha		toalha	तौलिया	tauliyā	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel	household	textiles	masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो
toronja		toronja	तुरंज	turanj	ترنج	noun		m.	a kind of citron									
tufão		? tufão	तूफ़ान	tūfān	طوفان	noun	(Delhi) IPA(key): /t̪uː.fɑːn/, [t̪uː.fä̃ːn], /t̪uː.pʰɑːn/, [t̪uː.pʰä̃ːn]	m.	1. storm, tempest 2. hurricane									
varanda		varanda	बरामदा	barāmadā	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	architecture		masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो
verruma		verruma	बरमा	barmā	برما	noun	(Delhi) IPA(key): /bəɾ.mɑː/, [bɐɾ.mäː]	m.	(tool) drill, borer									
		bilimbim	बिलिंबी	bilinbī		noun		f.	The fruit of Averrhoa bilimbi									
