Etymon pt-PT Note	Etymon pt-PT	Transliteration	Headword	urTenTen18	urTenTen18 Relative	Headword Hindi	Part of Speech	Gender	Pronunciation	Sense (Wiktionary)	Etymology Free	Variant	Headword (Ur)	Domain	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
	carraguem	karanchī	کِران٘چی			किराँची	noun	f.		a cart used to carry loads, carriage of goods train & bullock cart	pt carraguem (Source: McGregor) | en carriage (Source: Dasa)											
	cartucho	kāratus	کارتوس	672	2.46	कारतूस	noun	m.		(firearms) cartridge	pt ? cartucho (Source: Dalgado) | pt cartucho (Source: Dasa) | fr cartouche (Source: McGregor) .		کارتوس									
	cartucho	tusdan	توسدان			तूसदान	noun	m.		cartridge	pt cartucho + दान [addition of suffix] (Source: Dasa)											
	casa (de botão)	kāj	کاج	N	N	काज	noun	m.		a buttonhole	pt casa de botão (Source: Dalgado, Dasa) | sa काचः ‘a loop' (Source: Platts) .		کاج									
	católico	katholik	کیتھولک	1,300	4.76	कैथोलिक	noun	m. or f.	(Standard Urdu) IPA(key): /ɡɪɾ.d͡ʒɑː/	Catholic, Roman Catholic	pt católico (Source: Dalgado) | en Catholic (Source: Dalgado) .		کیتھولک									
	chá	cāy	چائے	12,222	44.73	चाय	noun	f.	(Standard Urdu) IPA(key): /t͡ʃɑː.eː/	tea (plant, beverage) & cup of tea	pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .		چائے									
	chapa	chapa	چھاپہ	N		छापा	noun			a seal, impression, stamp, or brand	pt ? chapa (Source: Dalgado)  .		چھاپہ									
	chave	cābī	چابی	1,799	6.58	चाबी	noun	f.	(Standard Urdu) IPA(key): /t͡ʃɑː.biː/	key 	pt chave (Source: Dalgado, Platts) .		چابی			چابی	چابی	چابی	چابیاں	چابیوں	چابیو	
	cocheiro	kochavān	کوچبان	3	0.01	कोचवान	noun	m.	(Standard Urdu) IPA(key): /kɛː.t̪ʰoː.lɪk/	a coachman	pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) . 		کوچبان									
	coronel	karnal	کرنل	6,681	24.45	कर्नल	noun	m.		colonel	pt coronel (Source: Dalgado) | en colonel (Source: Dasa) .		کرنل									
	couve	gobhī	گوبھی	744	2.72	गोभी	noun	f.		cabbage & cauliflower	pt couve (Source: Dalgado) | sa गोजीह्विका ‘the uvula' (Source: Wiktionary) .		گوبھی									
	cristão	kristān	کرستان			क्रिस्तान	noun	m. or f.		christian	pt (Source: Dalgado, McGregor) | en (Source: Dasa)  .		کرستان									
	cruz	krus	⁧کْرُوس⁩	3	0.01	क्रूस	noun	m.		the cross on which Jesus Christ was crucified & crucifix, cross	itc-pro *kruk(-i)-? (Source: de Vaan) > la crux 'wooden frame, cross' (Source: de Vaan) > pt cruz (Source: Dalgado, McGregor) | en cross (Source: Dasa) .		کمرہ 									
	da Silva	di Silwa	⁧ڈی سلوا⁩			डीसिल्वा	proper noun			a surname from Portuguese, equivalent to English D'Silva or Desilva	pt  da Silva (Source: Dalgado)  .											
	dezembro	disambar	دسمبر⁩ 	26,714	97.77	दिसंबर	noun	m.	(Standard Urdu) IPA(key): /d̪ɪ.səm.bəɾ/	December	pt dezembro (Source: McGregor) | ine-pro *deḱm ‘ten’, *deḱm-to- ‘tenth’ (Source: de Vaan) > itc-pro *dekm ‘ten’, *dekamo- ‘tenth’ > la decem + -ber 'pertaining to the tenth (month)' (Source: Ernout-Meillet) > en December (Source: McGregor) .		دسمبر									
	espada	 ispāt'	اسپات	7	0.03	इस्पात	noun	m.	(Standard Urdu) IPA(key): /ɪs.pɑːt̪/	steel	pt espada (Source: Dalgado, Platts) .		اسپات 									
	espital	aspatāl	اَسْپَتال⁩	22,471	82.24	अस्पताल	noun	m.	(Standard Urdu) IPA(key): /əs.pə.t̪ɑːl/	hospital	pt espital (Source: McGregor) | en hospital (Source: McGregor) .		اَسْپَتال									
	estábulo	astabal	اَصْطَبَل	283	1.04	अस्तबल	noun	m.	(Standard Urdu) IPA(key): /əs.t̪ə.bəl/	stable (for a horse)	pt estábulo (Source: McGregor) |  grc > la > ar ist̤abal (Source: McGregor) | ar (Source: Dasa)		اَصْطَبَل									
	estirar	istrī	استری	515	1.88	इस्तरी	noun	f.	(Standard Urdu) IPA(key): /ɪs.t̪ɾiː/	iron, press	pt estirar (Source: Dalgado, McGregor) .		استری									
	falto	fāltū	فالتو	0	0	फ़ालतू	adj.		(Standard Urdu) IPA(key): /fɑːl.t̪uː/	unnecessary, pointless & bad; not nice; of poor quality & useless, irrelevant, good-for-nothing (used for someone)	pt falto (Source: Dalgado) .		فالتو									
	fita	fītā	 ⁧فیتہ⁩	0	0	फ़ीता	noun	m.		lace; shoelace & tape; tape measure & ribbon	pt fita (Source: Dalgado, Platts) .											
	gentio	jento	⁧جینٹو⁩			जेंटू	noun	m.		Gentoo	pt 											
	gudão	godām	گودام	1,267	4.64	गोदाम	noun	m.		storage, godown	pt gudão (Source: Dalgado) | pt gudão ‘godown' (Source: Wiktionary) >  bn গুদাম ‘godown, warehouse' (Source McGregor) | en godown (Source: Dasa).		گودام									
	holandês	olandez	ولندیز			ओलंदेज़	noun	m. or f.		(dated) Dutchman; citizen of Holland 	pt holandês (Source: Wiktionary) .											
	igreja	girjā	⁧گِرْجا⁩	2,028	7.24	गिरजा	noun	m.	(Standard Urdu) IPA(key): /ɡoː.bʱiː/	church & chapel	pt igreja (Source: Dalgado, Fallon, Platts) .	girjā k., v. n. To have prayers (Christians).	گِرْجا 									
	inglês	aṅgrez	انگریز	6,218	22.76	अँग्रेज़	noun	m. or f.	(Standard Urdu) IPA(key): /əŋ.ɡɾeːz/	English person (Englishman or Englishwoman)	pt inglês (Source: Dalgado, McGregor) .		اَن٘گْریز									
	inglês	anglez	انگریز			अंग्रेज़	noun	m. or f.		English person (Englishman or Englishwoman)	pt inglês (Source: Dalgado, McGregor) .											
	janela	juā	جَن٘گْلا⁩			जंगला	noun	m.		fencing, railing & grille-fitted window	pt janela (Source: Dalgado, Dasa) .											
	jogar	juārī	جوا	1,845	6.75	जुआ	noun	m.	(Standard Urdu) IPA(key): /d͡ʒʊ.ɑː/, /d͡ʒʊ.wɑː/, /d͡ʒuː.ɑː/	gambling	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) .		جوا									
	jogar	joari	جواری	233	0.85	जुआरी	noun	m.		gambler	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) .		جواری									
	leilão	nī'lām' 	 ⁧نیلام⁩			नीलाम	noun	m 	(Standard Urdu) IPA(key): /niː.lɑːm/	auction (a public event where goods are sold through bidding)	pt leilão (Source: Dalgado, Fallon, Platts, Qureshi) .					نِیلام	نِیلام	نِیلام	نِیلام	نِیلاموں	نِیلامو	
	linguiça	langucha	لنگوچا			लंगूचा	noun	m.		a sausage	pt linguiça (Source: Dalgado) | sa लिङ्ग+उच्चयः (Source: Platts) .											
	mármore	marmar	مرمر	486	1.78	मरमर	noun	m.		marble	pt mármore (Source: Dalgado) | grc > fa مرمر (Source: McGregor) | ur (Source: Dasa).		مرمر									
	martelo	mārtol	مارتول	0	0	मारतौल	noun			a heavy hammer, hammer 	pt martelo (Source: Dalgado) .		مارتول									
	mastro	mastaul 	مستول	33	0.12	मस्तूल	noun	m.		mast	pt mastro (Source: Dalgado, Fallon) .		مستول									
	mês	mas	ماس			मास	noun			month	pt mês (Source: Dalgado, Fallon) .											
