Etymon pt-PT	Headword	Transliteration	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
dezembro	दिसंबर	disambara	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	English?		month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
espada	इस्पात	ispāta	noun		m.				object							
estábulo	अस्तबल	astabala	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	Persian?			masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar	इस्तरी	istarī	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
fita	फ़ीता	fītā	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
fita	फ़ीता	fītā	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	tape; tape measure				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
fita	फ़ीता	fītā	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	ribbon				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
gentio	जेंटू	jẽṭū	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo				masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ
holandês	ओलंदेज़	olandez	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m or f by sense	(dated) Dutchman; citizen of Holland										
hospital	अस्पताल	aspatāla	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital				masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो
igreja	गिरजा	girajā	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church	alternative form: गिर्जा	Christianity	religion	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
igreja	गिरजा	girajā	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	chapel	alternative form: गिर्जा	Christianity	religion	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
inglês	अँग्रेज़	am̐grēz	noun		m.											
inglês	अंग्रेज़	aṅgrez	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m or f by sense 	English person (Englishman or Englishwoman)										
janela	जंगला	jaṅglā	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.					masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
leilão	नीलाम	nīlāma	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m. & adv.	auction (a public event where goods are sold through bidding)				masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
martelo	मारतौल	mārataula	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]	m.	a heavy hammer, hammer	alternative मार्तोल (mārtol), मारतोल (mārtol)			masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
martelo	मार्तोल	mārtol	noun													
masto	मस्तूल	mastūla	noun		m.											
mestre	मिस्तरी	mistarī	noun		m.											
outubro	अक्तूबर	aktūbara	noun		m.		English?		month							
padre	पादरी	pādarī	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.			religion		masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
pipa	पीपा	pīpā	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask			object	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
pistola	पिस्तौल	pistaula	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun			object	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
pompa	बंबा	bambā	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
pompa	बंबा	bambā	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	channel, narrow river, creek				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
saia	साया	sāyā	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat			clothing	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
salsaparrilha	सालसा	sālasā	noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla		botany								
setembro	सितंबर	sitambara			m.				month							
toalha	तौलिया	tauliyā	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel				masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो
varanda	बरामदा	barāmadā	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah				masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो
