Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Etymology Full	Etymology Full 2	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
caju	7.87	काजू	7090	काजू		NA			hi काजू < pt  .	pt  .		kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	botany	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ	botão
cartucho		कारतूस	6780	कारतूस		? cartucho	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	hi कारतूस < pt ? cartucho (Source: Dalgado) | French cartouche (Source: McGregor) .	pt ? cartucho (Source: Dalgado) | French cartouche (Source: McGregor) .	French cartouche (Source: McGregor)	kārtūs	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge											carabina
carabina		कारबाइन	94	कारबाइन		? carabina	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	hi कारबाइन < pt ? carabina (Source: Dalgado) | French carabine (Source: Dalgado) | fa qarābīn (Source: McGregor) .	pt ? carabina (Source: Dalgado) | French carabine (Source: Dalgado) | fa qarābīn (Source: McGregor) .	French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	kaṛābīn	کاربائن	noun		f.	a carbine											candil
carraguem	<0.01	किराँची	0	किराँची		NA	NA (Source: Dalgado); 					kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो	capitão
cunha		कुनिया	24	कुनिया		cunha	cunha (Source: Dalgado)	cunha (Source: Dalgado)	hi कुनिया < pt cunha (Source: Dalgado) .	pt cunha (Source: Dalgado) .				noun			wedge											cristão
católico		कैथोलिक	4099	कैथोलिक		católico	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	hi कैथोलिक < pt católico (Source: Dalgado) | en Catholic (Source: Dalgado, Wiktionary) .	pt católico (Source: Dalgado) | en Catholic (Source: Dalgado, Wiktionary) .	English Catholic (Source: Dalgado, Wiktionary)	kaitholik	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	religion	religion	practices, beliefs and rituals								cartucho
cocheiro		कोचवान	196	कोचवान		cocheiro	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	hi कोचवान < pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) .	pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) .	English coachman (Source: Dalgado)	kochvān	کوچبان	noun		m.	a coachman											cifra
cristão	0.06	क्रिस्तान	54	क्रिस्तान		NA	NA (Source: Dalgado); 		hi क्रिस्तान < pt NA (Source: Dalgado) .	pt NA (Source: Dalgado) .		kristāna	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	religion	religion	practices, beliefs and rituals								coronel
cruz	0.82	क्रूस	735	क्रूस		cruz	cruz (Source: Dalgado)	cruz (Source: Dalgado)	hi क्रूस < pt cruz (Source: Dalgado) .	pt cruz (Source: Dalgado) .		krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	religion	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो	couve
igreja	0.68	गिरजा	609	गिरजा		igreja	igreja (Source: Dalgado)	igreja (Source: Dalgado)	hi गिरजा < pt igreja (Source: Dalgado) .	pt igreja (Source: Dalgado) .		girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	religion	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो	holandês
gudão		गोदाम	11830	गोदाम		gudão	gudão (Source: Dalgado); Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	hi गोदाम < pt gudão (Source: Dalgado) | bn gudām (Source: Wiktionary, McGregor) .	pt gudão (Source: Dalgado) | bn gudām (Source: Wiktionary, McGregor) .	Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	godām	گودام	noun		m.	storage, godown											forma
couve	7.8	गोभी	6,775	गोभी		couve	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	hi गोभी < pt couve (Source: Dalgado) | Sanksrit गोजीह्विका (Source: Wiktionary) .	pt couve (Source: Dalgado) | Sanksrit गोजीह्विका (Source: Wiktionary) .	Sanksrit गोजीह्विका (Source: Wiktionary)	gobhī	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f.	cabbage & cauliflower	food	food	food / vegetables	fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो	cocheiro
chave	7.86	चाबी	7,089	चाबी		chave	chave (Source: Dalgado)	chave (Source: Dalgado)	hi चाबी < pt chave (Source: Dalgado) .	pt chave (Source: Dalgado) .		cābī	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	objects	objects	artifact	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो	chá
chá		चाय	64719	चाय		chá	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	hi चाय < pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .	pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .	Persian [P. cāʾe] (Source: McGregor)	cāy	چائے	noun	(Delhi) IPA(key): /t͡ʃɑːj/, [t͡ʃäːj], /t͡ʃɑː.eː/, [t͡ʃäː.eː]	f.	tea (plant, beverage) & cup of tea	culinary	culinary	drinks								casa
