Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender	Headword (Ur)	urTenTen18	urTenTen18 Relative
armário	cupboard; wardrobe	اَلْماری	almārī	अलमारी	noun	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	cupboard, shelf; almirah	f.	اَلْماری	1,226	4.49
agosto	August	اگست	agast	अगस्त	noun	(Standard Urdu) IPA(key): /ə.ɡəst̪/	August	m.	اگست	26,735	97.84
outubro	October	اَکْتُوبَر	aktūbar	अक्तूबर	noun	(Standard Urdu) IPA(key): /ək.t̪uː.bəɾ/	October	m.	اکتوبر	22,398	81.97
estábulo	estábulo; A. ist̤abal: ← L., Gk	اَصْطَبَل	astabal	अस्तबल	noun	(Standard Urdu) IPA(key): /əs.t̪ə.bəl/	stable, mew, stall	m.	اصطبل	283	1.04
estirar		استری	istrī	इस्तरी	noun	(Standard Urdu) IPA(key): /ɪs.t̪ɾiː/	iron, clothes iron	f.	استری	515	1.88
hospital		اَسْپَتال	aspatāl	अस्पताल	noun	(Standard Urdu) IPA(key): /əs.pə.t̪ɑːl/	hospital	m.	اسپتال	22,471	82.24
espada	steel	اسپات 	 ispāt'	इस्पात	noun	(Standard Urdu) IPA(key): /ɪs.pɑːt̪/	steel	m.	اسپات	7	0.03
achar		اچار	ācār	अचार	noun	(Standard Urdu) IPA(key): /ə.t͡ʃɑːɾ/	pickle	m.	اچار	441	1.61
aia	ayah	آیا‎	āyā	आया	noun	(Standard Urdu) IPA(key): /ɑː.jɑː/	ayah: nurse maid, nurse	f.	آیا‎	0	
alfinete	alfinete ( ← A.): ? × pin (English); pin	آلپین	ālpin	आलपीन	noun			m.	آلپین	1	< 0.01
varanda	varanda; w. P. bar āmada 'come forth'	 بَرَامْدَا‎	barāmdā	बरामदा	noun			m.	برامدا	0	
mês			ماس کَبار	मास-कबार							
mestiço			مَستِیسا	मस्तीसा							
pão				पाव-रोटी							
