Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Etymology Full (Work here)	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
espital	279.86	अस्पताल	252,251	अस्पताल		NA	espital (Source: Wiktionary); English hospital (Source: McGregor)	espital (Source: Wiktionary); English hospital (Source: McGregor)	pt espital (Source: Wiktionary) | en hospital (Source: McGregor) .	English hospital (Source: McGregor)	aspatāla	اَسْپَتال⁩	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	healthcare	healthcare	medical institutions	masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो	gudão
amen		आमीन	1,001	आमीन	amém ou ámen	amen	amen (Source: Dalgado); Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	amen (Source: Dalgado); Arabic آمين  (Source: Dalgado)	pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado) .	Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	āmīn	آمین	interjection			amen	religion	religion	practices, beliefs and rituals								ambar
aia	N	आया	N	आया		aia	aia (Source: Dalgado)		pt aia (Source: Dalgado) .		āyā	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	occupations	occupations	domestic service / childcare	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ	aia
alfinete	0.03	आलपीन	28	आलपीन		alfinete	alfinete (Source: Dalgado)		pt alfinete (Source: Dalgado) .		ālapīn 	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	sewing	sewing	accessories	fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो	alfinete
estirar	0.17	इस्तरी	155	इस्तरी		estirar	estirar (Source: Dalgado)	estirar (Source: Dalgado)	pt estirar (Source: Dalgado) .		istarī	استری	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो	espada
espada	12.07	इस्पात	10,882	इस्पात		espada	espada (Source: Dalgado)	espada (Source: Dalgado)	pt espada (Source: Dalgado) .		ispāta	اسپات	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel			weapons, explosives, devices								da Silva
holandês	<0.01	ओलंदेज़	1	ओलंदेज़					pt holandês .		olandez	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m. or f.	(dated) Dutchman; citizen of Holland 	geography	geography	nationalities and ethnic groups								gentio
candil		कंदील	421	क़ंदील		? candil	? candil (Source: Dalgado); Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	? candil (Source: Dalgado); Arabic قنديل  (Source: Dalgado)	pt ? candil (Source: Dalgado) | lat candēla ‘a light made of wax or tallow' > grc κανδήλη ‘oil lamp' > ar قنديل  ‘lamp' (Source: Dalgado) .	Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	kandīl	قندیل	noun		f.	a lantern	objects	objects	domestic items / lighting								camisa
campo		कंपू	N	कंपू		campo	campo (Source: Dalgado); English camp (Source: McGregor)	campo (Source: Dalgado); English camp (Source: McGregor)	pt campo (Source: Dalgado) | en camp (Source: McGregor) .	English camp (Source: McGregor)	kampū		noun	(Delhi) IPA(key): /kəm.puː/, [kɐ̃m.puː]	m.	encampment & tent & cantonment & camp 											câmara
capitão		कप्तान	91962	कप्तान		capitão	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	pt capitão (Source: Dalgado) | en Captain (Source: Wiktionary) .	English Captain (Source: Wiktionary)	kaptān	کپتان	noun	(Delhi) IPA(key): /kəp.t̪ɑːn/, [kɐp.t̪ä̃ːn]	m.	captain (of a ship)	nautics	nautics	military ranks and titles								campo
